Order_ID,Date,Customer,City,Category,Quantity,Unit_Price,Payment_Method,Status,Total_Sales
1001,1/5/2026,Ram,Butwal,Laptop,1,85000,Bank,Completed,85000
1002,1/8/2026,Sita,Bhairahawa,Mouse,3,1200,Cash,Completed,3600
1003,1/12/2026,Hari,Butwal,Keyboard,2,2500,Cash,Completed,5000
1004,1/15/2026,Anita,Kathmandu,Laptop,1,72000,Card,Completed,72000
1005,2/2/2026,Ram,Bhairahawa,Headphone,2,3500,Bank,Cancelled,7000
1006,2/8/2026,Sita,Butwal,Laptop,1,90000,Card,Completed,90000
1007,2/14/2026,Bikash,Pokhara,Mouse,4,1100,Cash,Completed,4400
1008,2/20/2026,Anita,Kathmandu,Keyboard,2,2200,Bank,Completed,4400
1009,3/3/2026,Hari,Pokhara,Laptop,1,78000,Card,Completed,78000
1010,3/10/2026,Ram,Butwal,Headphone,3,3200,Cash,Cancelled,9600
1011,3/18/2026,Bikash,Bhairahawa,Laptop,1,82000,Bank,Completed,82000
1012,3/25/2026,Sita,Butwal,Mouse,5,1150,Cash,Completed,5750
